"","date","var","lwr","med","upr","trim","convergence_code","province_name","province","value","type"
"185",2020-10-31,"H",100.95,120,140,"full",0,"Alberta","AB",115,"fit"
"186",2020-10-31,"ICU",20,29,38,"full",0,"Alberta","AB",25,"fit"
"187",2020-10-31,"death",2,5,9,"full",0,"Alberta","AB",NA,"fit"
"188",2020-10-31,"report",452.9,504.5,556,"full",0,"Alberta","AB",581,"fit"
"189",2020-11-01,"H",104.95,124,145,"full",0,"Alberta","AB",115,"fit"
"190",2020-11-01,"ICU",21,30,38,"full",0,"Alberta","AB",25,"fit"
"191",2020-11-01,"death",2,5,9,"full",0,"Alberta","AB",NA,"fit"
"192",2020-11-01,"report",470,516.5,567.05,"full",0,"Alberta","AB",525,"fit"
"193",2020-11-02,"H",108.95,129,148.05,"full",0,"Alberta","AB",115,"fit"
"194",2020-11-02,"ICU",21.95,31,40,"full",0,"Alberta","AB",25,"fit"
"195",2020-11-02,"death",2,5,9,"full",0,"Alberta","AB",NA,"fit"
"196",2020-11-02,"report",484.95,530,583,"full",0,"Alberta","AB",592,"fit"
"197",2020-11-03,"H",111,130,152,"full",0,"Alberta","AB",140,"fit"
"198",2020-11-03,"ICU",22,32,42,"full",0,"Alberta","AB",27,"fit"
"199",2020-11-03,"death",2,5,10,"full",0,"Alberta","AB",15,"fit"
"200",2020-11-03,"report",489.95,544,597.05,"full",0,"Alberta","AB",570,"fit"
"201",2020-11-04,"H",113,134,156,"full",0,"Alberta","AB",137,"fit"
"202",2020-11-04,"ICU",24,32,42,"full",0,"Alberta","AB",30,"fit"
"203",2020-11-04,"death",2,6,10,"full",0,"Alberta","AB",5,"fit"
"204",2020-11-04,"report",501,557,617.05,"full",0,"Alberta","AB",515,"fit"
"205",2020-11-05,"H",116,138,160,"full",0,"Alberta","AB",137,"fit"
"206",2020-11-05,"ICU",25,33,44,"full",0,"Alberta","AB",30,"fit"
"207",2020-11-05,"death",2,6,10,"full",0,"Alberta","AB",NA,"fit"
"208",2020-11-05,"report",516.95,570,626,"full",0,"Alberta","AB",802,"fit"
"209",2020-11-06,"H",120,142,166,"full",0,"Alberta","AB",138,"fit"
"210",2020-11-06,"ICU",25,34,45,"full",0,"Alberta","AB",33,"fit"
"211",2020-11-06,"death",2,6,10,"full",0,"Alberta","AB",9,"fit"
"212",2020-11-06,"report",534,587.5,643,"full",0,"Alberta","AB",609,"fit"
"213",2020-11-07,"H",127,146.5,169,"full",0,"Alberta","AB",138,"fit"
"214",2020-11-07,"ICU",26,35,45,"full",0,"Alberta","AB",33,"fit"
"215",2020-11-07,"death",4.95,9,15,"full",0,"Alberta","AB",NA,"fit"
"216",2020-11-07,"report",550.95,604,660.05,"full",0,"Alberta","AB",NA,"fit"
"217",2020-11-08,"H",131,151.5,173,"full",0,"Alberta","AB",138,"fit"
"218",2020-11-08,"ICU",26.95,37,47,"full",0,"Alberta","AB",33,"fit"
"219",2020-11-08,"death",2.95,6,11,"full",0,"Alberta","AB",NA,"fit"
"220",2020-11-08,"report",561,620,675,"full",0,"Alberta","AB",1658,"fit"
"221",2020-11-09,"H",133,155,180,"full",0,"Alberta","AB",153,"fit"
"222",2020-11-09,"ICU",28,38,49,"full",0,"Alberta","AB",39,"fit"
"223",2020-11-09,"death",3,6,11,"full",0,"Alberta","AB",17,"fit"
"224",2020-11-09,"report",583,641,697.05,"full",0,"Alberta","AB",644,"fit"
"225",2020-11-10,"H",138.95,161,184,"full",0,"Alberta","AB",153,"fit"
"226",2020-11-10,"ICU",29,39,49,"full",0,"Alberta","AB",39,"fit"
"227",2020-11-10,"death",3,6,11,"full",0,"Alberta","AB",NA,"fit"
"228",2020-11-10,"report",627,685,752.05,"full",0,"Alberta","AB",713,"fit"
"229",2020-11-11,"H",140.95,163,188,"full",0,"Alberta","AB",153,"fit"
"230",2020-11-11,"ICU",29,39,51,"full",0,"Alberta","AB",39,"fit"
"231",2020-11-11,"death",3,7,12,"full",0,"Alberta","AB",NA,"fit"
"232",2020-11-11,"report",691.9,755,826,"full",0,"Alberta","AB",672,"fit"
"233",2020-11-12,"H",146.95,168,192.1,"full",0,"Alberta","AB",174,"fit"
"234",2020-11-12,"ICU",30,40,51.05,"full",0,"Alberta","AB",51,"fit"
"235",2020-11-12,"death",3,7,12,"full",0,"Alberta","AB",24,"fit"
"236",2020-11-12,"report",766,848,927,"full",0,"Alberta","AB",860,"fit"
"237",2020-11-13,"H",151,174,198,"full",0,"Alberta","AB",186,"fit"
"238",2020-11-13,"ICU",32,43,55,"full",0,"Alberta","AB",54,"fit"
"239",2020-11-13,"death",3.95,8,13,"full",0,"Alberta","AB",5,"fit"
"240",2020-11-13,"report",850.95,948.5,1058,"full",0,"Alberta","AB",907,"fit"
"241",2020-11-14,"H",158,183,209.05,"full",0,"Alberta","AB",186,"fit"
"242",2020-11-14,"ICU",34,45,55,"full",0,"Alberta","AB",54,"fit"
"243",2020-11-14,"death",7,12,18,"full",0,"Alberta","AB",NA,"fit"
"244",2020-11-14,"report",929,1052,1170.05,"full",0,"Alberta","AB",NA,"fit"
"245",2020-11-15,"H",163,189,216.05,"full",0,"Alberta","AB",186,"fit"
"246",2020-11-15,"ICU",35,46,57,"full",0,"Alberta","AB",54,"fit"
"247",2020-11-15,"death",5,9,14,"full",0,"Alberta","AB",NA,"fit"
"248",2020-11-15,"report",1002.95,1153,1292,"full",0,"Alberta","AB",NA,"fit"
"249",2020-11-16,"H",174,199,226,"full",0,"Alberta","AB",207,"fit"
"250",2020-11-16,"ICU",36,48,61,"full",0,"Alberta","AB",57,"fit"
"251",2020-11-16,"death",5,9,15,"full",0,"Alberta","AB",29,"fit"
"252",2020-11-16,"report",1079.9,1242.5,1399.1,"full",0,"Alberta","AB",2877,"fit"
"253",2020-11-17,"H",177.95,204,232.05,"full",0,"Alberta","AB",211,"fit"
"254",2020-11-17,"ICU",37.95,50,63,"full",0,"Alberta","AB",57,"fit"
"255",2020-11-17,"death",5,10,15,"full",0,"Alberta","AB",5,"fit"
"256",2020-11-17,"report",1138.95,1309,1478.15,"full",0,"Alberta","AB",773,"fit"
"257",2020-11-18,"H",187,213,239,"full",0,"Alberta","AB",230,"fit"
"258",2020-11-18,"ICU",42,52,67,"full",0,"Alberta","AB",57,"fit"
"259",2020-11-18,"death",5,10,17,"full",0,"Alberta","AB",11,"fit"
"260",2020-11-18,"report",1208.95,1346.5,1496.05,"full",0,"Alberta","AB",730,"fit"
"261",2020-11-19,"H",199.95,228,256,"full",0,"Alberta","AB",223,"fit"
